,data_size,data_id,mini_batch,n_conditions,cosine_shift,n_steps,list_steps,mmd,median,median_rmse,contractions,rel_contraction
43,100,3,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.18143124079156814,"[ 0.11078764  0.1034062   0.10911836 -0.19077465  0.1981526   0.14401506
  0.16219394 -0.04050241  0.04639508  0.12477478]",0.13780006759147984,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999995357
44,100,4,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.11211429154993136,"[-0.13374473 -0.17163828 -0.26175147 -0.09434313 -0.14548314 -0.08409815
 -0.06091054  0.13285357 -0.10066447  0.04254627]",0.10760611452854087,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.009999999998916
45,100,5,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.08848416236467882,"[ 0.06529599  0.058017    0.08836865 -0.21939315  0.07995168  0.01459644
 -0.05034162 -0.04915904 -0.00483114  0.10827997]",0.09527968305673681,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999992053
46,100,6,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.11534869276128412,"[-0.133422    0.05350121  0.0633974  -0.11522292  0.10386864 -0.05800191
 -0.1648875   0.17160325  0.11187875 -0.06860186]",0.10867577579380987,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999996654
47,100,7,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.22339386795990857,"[-0.07255023 -0.02588652  0.16163583 -0.04739724 -0.09834904  0.23422693
  0.19680454 -0.11558543 -0.12226697  0.08869797]",0.1542003198527934,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999990026
48,100,8,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.04320626222756241,"[-0.08035591  0.18785077  0.02529879 -0.06576128  0.14868164  0.0574155
  0.03491402  0.05872194 -0.0911229   0.17634185]",0.0657717737725746,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.009999999999565
49,100,9,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.1502753671631314,"[-0.1795703   0.07772341  0.13327518  0.08369984  0.16607685  0.0799273
 -0.2637834   0.3343933  -0.0461721  -0.03789645]",0.1251655011537643,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999974654
50,100,0,100,1,0,3.0,"[0.5, 0.2396380454301834, 0.2603619694709778]",0.0836989800011323,"[ 0.33315384 -0.05144128 -0.01587689  0.09705649  0.14138092  0.02984887
  0.17531124 -0.02537615 -0.01335397  0.08203452]",0.09234957606756529,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999988662
51,100,1,100,1,0,3.0,"[0.5, 0.2396380454301834, 0.2603619694709778]",0.07249562280968869,"[ 0.05810624  0.14470044  0.04540972  0.08479445  0.06428207 -0.10740387
  0.0791341   0.11676842 -0.09620278  0.00358244]",0.08603585428367219,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999995553
52,100,2,100,1,0,3.0,"[0.5, 0.2396380454301834, 0.2603619694709778]",0.18156127428993196,"[ 0.02657481  0.1079485   0.12617204  0.09565177  0.01802523 -0.17320478
 -0.16297482 -0.0400539   0.30108386  0.10838842]",0.13812617005394406,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999984397
53,100,3,100,1,0,3.0,"[0.5, 0.2396380454301834, 0.2603619694709778]",0.24990425863286347,"[ 0.04281713  0.36066782  0.1403752  -0.22456795  0.05017831  0.24639659
  0.18799703 -0.04235653 -0.04000613  0.01821281]",0.1634294976260342,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999985623
54,100,4,100,1,0,3.0,"[0.5, 0.2396380454301834, 0.2603619694709778]",0.05885462801783037,"[-0.15364836 -0.07161409 -0.1512104   0.01170657 -0.00394706 -0.10119133
 -0.04127602  0.04334715 -0.13818806  0.07271073]",0.0771670828879779,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999994822
55,100,5,100,1,0,3.0,"[0.5, 0.2396380454301834, 0.2603619694709778]",0.08689451183086794,"[ 0.07694454  0.03203466  0.01205408 -0.21999489  0.11437603  0.05800597
 -0.0532116  -0.1156315   0.04438917  0.01125012]",0.09484682884898077,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999997833
56,100,6,100,1,0,3.0,"[0.5, 0.2396380454301834, 0.2603619694709778]",0.2113132525429533,"[-0.0417795   0.19674562 -0.02159795  0.06079128  0.03092848 -0.12968992
 -0.39295477  0.04966522  0.03325467 -0.1586684 ]",0.14902508668851946,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999994236
