Epoch 305/1000, Loss: 14.7487, Valid Loss: 17.3277
Epoch 306/1000, Loss: 15.2115, Valid Loss: 13.9623
Epoch 307/1000, Loss: 14.3336, Valid Loss: 22.8460
Epoch 308/1000, Loss: 15.7006, Valid Loss: 12.2396
Epoch 309/1000, Loss: 15.1679, Valid Loss: 15.6693
Epoch 310/1000, Loss: 14.1436, Valid Loss: 13.8589
Epoch 311/1000, Loss: 15.2166, Valid Loss: 16.4354
Epoch 312/1000, Loss: 14.5891, Valid Loss: 13.5833
Epoch 313/1000, Loss: 14.4845, Valid Loss: 13.3255
Epoch 314/1000, Loss: 14.5863, Valid Loss: 11.8416
Epoch 315/1000, Loss: 14.9506, Valid Loss: 16.7760
Epoch 316/1000, Loss: 15.8802, Valid Loss: 19.2212
Epoch 317/1000, Loss: 14.8660, Valid Loss: 15.4093
Epoch 318/1000, Loss: 16.1999, Valid Loss: 20.9108
Epoch 319/1000, Loss: 14.3794, Valid Loss: 16.3570
Epoch 320/1000, Loss: 14.2001, Valid Loss: 20.9340
Epoch 321/1000, Loss: 14.6270, Valid Loss: 14.8787
Epoch 322/1000, Loss: 15.4544, Valid Loss: 12.0819
Epoch 323/1000, Loss: 15.1868, Valid Loss: 21.3697
Epoch 324/1000, Loss: 15.7161, Valid Loss: 18.9745
Epoch 325/1000, Loss: 15.3529, Valid Loss: 14.8052
Epoch 326/1000, Loss: 14.2936, Valid Loss: 12.4719
Epoch 327/1000, Loss: 14.8424, Valid Loss: 13.2510
Epoch 328/1000, Loss: 13.9619, Valid Loss: 13.7137
Epoch 329/1000, Loss: 15.3387, Valid Loss: 14.4851
Epoch 330/1000, Loss: 15.1164, Valid Loss: 14.3973
Epoch 331/1000, Loss: 14.6581, Valid Loss: 15.6434
Epoch 332/1000, Loss: 14.4274, Valid Loss: 13.0208
Epoch 333/1000, Loss: 15.1853, Valid Loss: 20.1191
Epoch 334/1000, Loss: 15.1682, Valid Loss: 13.1235
Epoch 335/1000, Loss: 14.1455, Valid Loss: 17.9675
Epoch 336/1000, Loss: 14.5924, Valid Loss: 15.4740
Epoch 337/1000, Loss: 15.3169, Valid Loss: 12.1538
Epoch 338/1000, Loss: 15.3503, Valid Loss: 14.9764
Epoch 339/1000, Loss: 14.4464, Valid Loss: 14.2714
Epoch 340/1000, Loss: 15.4092, Valid Loss: 12.6878
Epoch 341/1000, Loss: 13.9824, Valid Loss: 14.0758
Epoch 342/1000, Loss: 14.7236, Valid Loss: 14.2292
Epoch 343/1000, Loss: 14.7301, Valid Loss: 15.5744
Epoch 344/1000, Loss: 15.0805, Valid Loss: 14.8402
Epoch 345/1000, Loss: 15.6965, Valid Loss: 12.9197
Epoch 346/1000, Loss: 13.9008, Valid Loss: 14.6764
Epoch 347/1000, Loss: 14.6574, Valid Loss: 16.3017
Epoch 348/1000, Loss: 14.3377, Valid Loss: 14.0427
Epoch 349/1000, Loss: 14.5001, Valid Loss: 14.6616
Epoch 350/1000, Loss: 15.1915, Valid Loss: 11.7690
Epoch 351/1000, Loss: 15.4467, Valid Loss: 17.1064
Epoch 352/1000, Loss: 14.2617, Valid Loss: 13.4687
Epoch 353/1000, Loss: 14.6209, Valid Loss: 15.6149
Epoch 354/1000, Loss: 13.9707, Valid Loss: 15.3990
Epoch 355/1000, Loss: 15.1289, Valid Loss: 25.5253
Epoch 356/1000, Loss: 14.4453, Valid Loss: 17.1164
Epoch 357/1000, Loss: 14.6787, Valid Loss: 15.5417
Epoch 358/1000, Loss: 14.7008, Valid Loss: 15.7915
Epoch 359/1000, Loss: 14.3223, Valid Loss: 14.3739
Epoch 360/1000, Loss: 14.5232, Valid Loss: 12.7859
Epoch 361/1000, Loss: 14.0649, Valid Loss: 16.2143
Epoch 362/1000, Loss: 14.5192, Valid Loss: 10.7597
Epoch 363/1000, Loss: 14.8187, Valid Loss: 12.9061
Epoch 364/1000, Loss: 14.4386, Valid Loss: 14.5480
Epoch 365/1000, Loss: 15.1783, Valid Loss: 13.1261
Epoch 366/1000, Loss: 14.8352, Valid Loss: 12.4585
Epoch 367/1000, Loss: 14.4225, Valid Loss: 17.3671
Epoch 368/1000, Loss: 14.7562, Valid Loss: 13.3139
Epoch 369/1000, Loss: 14.0491, Valid Loss: 12.2992
Epoch 370/1000, Loss: 14.4863, Valid Loss: 12.0899
Epoch 371/1000, Loss: 14.1038, Valid Loss: 13.4956
Epoch 372/1000, Loss: 15.8827, Valid Loss: 15.5021
Epoch 373/1000, Loss: 15.0915, Valid Loss: 15.0449
Epoch 374/1000, Loss: 16.1018, Valid Loss: 12.3117
Epoch 375/1000, Loss: 14.8713, Valid Loss: 12.9448
Epoch 376/1000, Loss: 15.0525, Valid Loss: 12.9247
Epoch 377/1000, Loss: 16.2112, Valid Loss: 10.6680
Epoch 378/1000, Loss: 15.1148, Valid Loss: 17.8578
Epoch 379/1000, Loss: 14.9436, Valid Loss: 14.3709
Epoch 380/1000, Loss: 14.7905, Valid Loss: 14.4025
Epoch 381/1000, Loss: 14.6611, Valid Loss: 14.6625
Epoch 382/1000, Loss: 15.1972, Valid Loss: 15.0234
Epoch 383/1000, Loss: 14.3236, Valid Loss: 18.2278
Epoch 384/1000, Loss: 14.9976, Valid Loss: 14.6410
Epoch 385/1000, Loss: 15.0866, Valid Loss: 13.6759
Epoch 386/1000, Loss: 15.1676, Valid Loss: 15.0857
Epoch 387/1000, Loss: 19.8415, Valid Loss: 15.7906
Epoch 388/1000, Loss: 16.3881, Valid Loss: 15.3771
Epoch 389/1000, Loss: 14.7177, Valid Loss: 12.7538
Epoch 390/1000, Loss: 14.0886, Valid Loss: 13.2605
