WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
Exp: 7 Model: 7 mini_batch
Remember to switch the noise schedule for sampling!
Using EDM noise schedule with log_snr_min: -8.764053344726562, log_snr_max: 12.429216384887695
Kernel type: variance_preserving, noise schedule: edm-training
t_min: 0.9999853372573853, t_max: 1.6391277313232422e-06
alpha, sigma: (tensor(1.0000), tensor(0.0020)) (tensor(0.0125), tensor(0.9999))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat7_1score_model_F_variance_preserving_edm-training_edm
Training F-model for 1000 epochs with learning rate 0.0005 and edm weighting.
Epoch 242/1000, Loss: 0.8765, Valid Loss: 0.8913
Epoch 243/1000, Loss: 0.8751, Valid Loss: 0.8506
Epoch 244/1000, Loss: 0.8757, Valid Loss: 0.8615
Epoch 245/1000, Loss: 0.8710, Valid Loss: 0.8648
Epoch 246/1000, Loss: 0.8692, Valid Loss: 0.8774
Epoch 247/1000, Loss: 0.8716, Valid Loss: 0.8747
Epoch 248/1000, Loss: 0.8710, Valid Loss: 0.8837
Epoch 249/1000, Loss: 0.8692, Valid Loss: 0.8660
Epoch 250/1000, Loss: 0.8661, Valid Loss: 0.8807
Epoch 251/1000, Loss: 0.8791, Valid Loss: 0.8747
Epoch 252/1000, Loss: 0.8751, Valid Loss: 0.8815
Epoch 253/1000, Loss: 0.8670, Valid Loss: 0.8635
Epoch 254/1000, Loss: 0.8759, Valid Loss: 0.8596
Epoch 255/1000, Loss: 0.8698, Valid Loss: 0.8885
Epoch 256/1000, Loss: 0.8765, Valid Loss: 0.8580
Epoch 257/1000, Loss: 0.8731, Valid Loss: 0.8610
Epoch 258/1000, Loss: 0.8758, Valid Loss: 0.8461
Epoch 259/1000, Loss: 0.8722, Valid Loss: 0.8630
Epoch 260/1000, Loss: 0.8744, Valid Loss: 0.8718
Epoch 261/1000, Loss: 0.8673, Valid Loss: 0.8674
Epoch 262/1000, Loss: 0.8744, Valid Loss: 0.8600
Epoch 263/1000, Loss: 0.8737, Valid Loss: 0.8549
Epoch 264/1000, Loss: 0.8789, Valid Loss: 0.8633
Epoch 265/1000, Loss: 0.8731, Valid Loss: 0.8547
Epoch 266/1000, Loss: 0.8769, Valid Loss: 0.8727
Epoch 267/1000, Loss: 0.8692, Valid Loss: 0.8613
Epoch 268/1000, Loss: 0.8803, Valid Loss: 0.8624
Epoch 269/1000, Loss: 0.8712, Valid Loss: 0.9025
Epoch 270/1000, Loss: 0.8736, Valid Loss: 0.8980
Epoch 271/1000, Loss: 0.8712, Valid Loss: 0.8777
Epoch 272/1000, Loss: 0.8763, Valid Loss: 0.8783
Epoch 273/1000, Loss: 0.8619, Valid Loss: 0.8608
Epoch 274/1000, Loss: 0.8750, Valid Loss: 0.8805
Epoch 275/1000, Loss: 0.8727, Valid Loss: 0.8640
Epoch 276/1000, Loss: 0.8639, Valid Loss: 0.8861
Epoch 277/1000, Loss: 0.8751, Valid Loss: 0.8760
Epoch 278/1000, Loss: 0.8642, Valid Loss: 0.8917
Epoch 279/1000, Loss: 0.8725, Valid Loss: 0.8523
Epoch 280/1000, Loss: 0.8671, Valid Loss: 0.8552
Epoch 281/1000, Loss: 0.8673, Valid Loss: 0.8714
Epoch 282/1000, Loss: 0.8650, Valid Loss: 0.8865
Epoch 283/1000, Loss: 0.8736, Valid Loss: 0.8793
Epoch 284/1000, Loss: 0.8566, Valid Loss: 0.8230
