Epoch 368/1000, Loss: 14.1647, Valid Loss: 16.5631
Epoch 369/1000, Loss: 14.9853, Valid Loss: 12.2738
Epoch 370/1000, Loss: 13.9947, Valid Loss: 13.9963
Epoch 371/1000, Loss: 15.0934, Valid Loss: 12.8188
Epoch 372/1000, Loss: 16.2633, Valid Loss: 17.8019
Epoch 373/1000, Loss: 15.2729, Valid Loss: 14.6223
Epoch 374/1000, Loss: 14.6720, Valid Loss: 13.4033
Epoch 375/1000, Loss: 14.4463, Valid Loss: 11.8700
Epoch 376/1000, Loss: 15.5007, Valid Loss: 12.2516
Epoch 377/1000, Loss: 15.6777, Valid Loss: 19.3661
Epoch 378/1000, Loss: 14.2062, Valid Loss: 14.4284
Epoch 379/1000, Loss: 15.4220, Valid Loss: 16.4061
Epoch 380/1000, Loss: 15.4382, Valid Loss: 14.5819
Epoch 381/1000, Loss: 15.8897, Valid Loss: 15.2171
Epoch 382/1000, Loss: 15.8686, Valid Loss: 14.7323
Epoch 383/1000, Loss: 15.1623, Valid Loss: 17.5413
Epoch 384/1000, Loss: 15.0357, Valid Loss: 13.3765
Epoch 385/1000, Loss: 14.6397, Valid Loss: 18.8138
Epoch 386/1000, Loss: 14.2602, Valid Loss: 20.5184
Epoch 387/1000, Loss: 14.4427, Valid Loss: 14.2651
Epoch 388/1000, Loss: 15.6697, Valid Loss: 11.9511
Epoch 389/1000, Loss: 14.4309, Valid Loss: 13.7650
Epoch 390/1000, Loss: 15.3013, Valid Loss: 14.4276
Epoch 391/1000, Loss: 14.9016, Valid Loss: 13.5545
Epoch 392/1000, Loss: 15.3208, Valid Loss: 15.3566
Epoch 393/1000, Loss: 14.9809, Valid Loss: 13.7139
